Date,GloveSizeGroup,GloveSize,RawIntD,LoadingWeight,ContactNumber,Surface,Gloves,Gender,ID,PowderArea
09/07/2019,Large,NA,4862984,152.2155,3,Cloth,N,Male,5,31.121
09/07/2019,Large,NA,5149702,73.0323,3,Glass,N,Male,5,49.015
09/07/2019,Large,L,2305534,59.4789,4,Plastic,Y,Male,5,7.971
09/07/2019,Large,L,1859264,168.3327,4,Cloth,Y,Male,5,25.97
09/07/2019,Large,L,702656,178.0467,4,Glass,Y,Male,5,19.951
09/07/2019,Large,NA,3017904,84.7665,4,Plastic,N,Male,5,57.165
09/07/2019,Large,NA,3308445,169.1569,4,Cloth,N,Male,5,30.504
09/07/2019,Large,NA,5089641,50.4021,4,Glass,N,Male,5,35.234
09/07/2019,Large,L,459672,78.4825,5,Plastic,Y,Male,5,4.427
09/07/2019,Large,L,2314369,175.1029,5,Cloth,Y,Male,5,8.824
09/07/2019,Large,L,395633,128.729,5,Glass,Y,Male,5,23.858
09/07/2019,Large,NA,900418,92.6065,5,Plastic,N,Male,5,48.555
09/07/2019,Large,NA,4722834,101.5432,5,Cloth,N,Male,5,13.86
09/07/2019,Large,NA,2384815,88.9921,5,Glass,N,Male,5,46.659
09/07/2019,Medium,M,3614296,285.039214,1,Plastic,Y,Male,6,80.977
09/07/2019,Medium,M,5170732,72.9451,1,Cloth,Y,Male,6,38.54
09/07/2019,Medium,M,6447895,5.8802,1,Glass,Y,Male,6,47.876
09/07/2019,Medium,NA,4092434,23.8364,1,Plastic,N,Male,6,54.433
09/07/2019,Medium,NA,7375700,18.7675,1,Cloth,N,Male,6,38.232
09/07/2019,Medium,NA,5628240,60.0311,1,Glass,N,Male,6,64.488
09/07/2019,Medium,M,5154928,267.8264283,2,Plastic,Y,Male,6,45.477
09/07/2019,Medium,M,2607673,244.2111888,2,Cloth,Y,Male,6,60.78
09/07/2019,Medium,M,3441442,7.7478,2,Glass,Y,Male,6,27.533
09/07/2019,Medium,NA,3025207,45.7056,2,Plastic,N,Male,6,55.82
09/07/2019,Medium,NA,5030009,32.9466,2,Cloth,N,Male,6,32.291
09/07/2019,Medium,NA,5128645,8.1896,2,Glass,N,Male,6,49.661
09/07/2019,Medium,M,2400657,198.1444,3,Plastic,Y,Male,6,45.885
09/07/2019,Medium,M,3465768,260.9109895,3,Cloth,Y,Male,6,28.659
09/07/2019,Medium,M,3754615,62.5163,3,Glass,Y,Male,6,35.056
09/07/2019,Medium,NA,1773647,7.2006,3,Plastic,N,Male,6,43.964
09/07/2019,Medium,NA,6701372,26.064,3,Cloth,N,Male,6,23.781
09/07/2019,Medium,NA,4049810,69.6324,3,Glass,N,Male,6,63.783
09/07/2019,Medium,M,2329001,224.0007502,4,Plastic,Y,Male,6,22
09/07/2019,Medium,M,2138049,282.2610894,4,Cloth,Y,Male,6,33.349
09/07/2019,Medium,M,1421059,77.5431,4,Glass,Y,Male,6,23.987
09/07/2019,Medium,NA,1967021,9.5041,4,Plastic,N,Male,6,41.761
09/07/2019,Medium,NA,5095097,22.4328,4,Cloth,N,Male,6,25.645
09/07/2019,Medium,NA,3803702,11.6909,4,Glass,N,Male,6,49.115
09/07/2019,Medium,M,1129636,281.5697419,5,Plastic,Y,Male,6,20.834
09/07/2019,Medium,M,1649983,155.0141,5,Cloth,Y,Male,6,23.279
09/07/2019,Medium,M,987434,50.3907,5,Glass,Y,Male,6,17.47
09/07/2019,Medium,NA,1117073,4.1671,5,Plastic,N,Male,6,35.71
09/07/2019,Medium,NA,4129289,22.0892,5,Cloth,N,Male,6,22.052
09/07/2019,Medium,NA,2361919,58.0043,5,Glass,N,Male,6,39.58
09/07/2019,Large,L,11027341,261.8167561,1,Plastic,Y,Male,7,104.92
09/07/2019,Large,L,16445271,248.9495538,1,Cloth,Y,Male,7,149.647
09/07/2019,Large,L,11547504,280.778721,1,Glass,Y,Male,7,118.971
09/07/2019,Large,NA,9683993,125.8908,1,Plastic,N,Male,7,83.572
09/07/2019,Large,NA,12094848,169.555,1,Cloth,N,Male,7,90.297
09/07/2019,Large,NA,7038578,188.1921,1,Glass,N,Male,7,117.59
09/07/2019,Large,L,7466861,192.3986,2,Plastic,Y,Male,7,84.995
09/07/2019,Large,L,12337047,226.1176272,2,Cloth,Y,Male,7,127.755
09/07/2019,Large,L,8819406,217.8049751,2,Glass,Y,Male,7,126.29
09/07/2019,Large,NA,8415778,163.7307,2,Plastic,N,Male,7,79.887
09/07/2019,Large,NA,7335515,160.9592,2,Cloth,N,Male,7,88.222
09/07/2019,Large,NA,5348077,188.8819,2,Glass,N,Male,7,89.793
09/07/2019,Large,L,7317440,256.2772029,3,Plastic,Y,Male,7,70.29
09/07/2019,Large,L,8794701,244.4401887,3,Cloth,Y,Male,7,104.582
09/07/2019,Large,L,7896568,280.0809504,3,Glass,Y,Male,7,95.062
09/07/2019,Large,NA,6919029,160.9697,3,Plastic,N,Male,7,78.922
09/07/2019,Large,NA,6644724,158.5703,3,Cloth,N,Male,7,84.949
09/07/2019,Large,NA,5016491,171.9645,3,Glass,N,Male,7,80.291
09/07/2019,Large,L,5424248,251.9069801,4,Plastic,Y,Male,7,61.82
09/07/2019,Large,L,10252518,240.0199566,4,Cloth,Y,Male,7,121.836
09/07/2019,Large,L,4951058,198.7869,4,Glass,Y,Male,7,75.713
09/07/2019,Large,NA,6778563,189.6008,4,Plastic,N,Male,7,80.047
09/07/2019,Large,NA,5921615,124.1506,4,Cloth,N,Male,7,82.204
09/07/2019,Large,NA,4236503,180.8542,4,Glass,N,Male,7,78.846
09/07/2019,Large,L,4034368,255.8504214,5,Plastic,Y,Male,7,63.475
09/07/2019,Large,L,3959707,282.3966813,5,Cloth,Y,Male,7,72.875
09/07/2019,Large,L,6696564,293.3402112,5,Glass,Y,Male,7,86.063
09/07/2019,Large,NA,2081983,270.1104992,5,Plastic,N,Male,7,66.557
09/07/2019,Large,NA,5229587,172.7406,5,Cloth,N,Male,7,39.106
09/07/2019,Large,NA,3016834,234.2428103,5,Glass,N,Male,7,68.78
09/07/2019,Small,S,11675989,219.0918824,1,Plastic,Y,Female,8,117.34
09/07/2019,Small,S,6233734,285.2826151,1,Cloth,Y,Female,8,71.317
09/07/2019,Small,S,2800096,298.9088382,1,Glass,Y,Female,8,47.383
09/07/2019,Small,NA,8796528,111.4863,1,Plastic,N,Female,8,102.327
09/07/2019,Small,NA,8915600,148.9423,1,Cloth,N,Female,8,98.755
09/07/2019,Small,NA,10199934,199.2863,1,Glass,N,Female,8,98.906
09/07/2019,Small,S,6852682,219.6573444,2,Plastic,Y,Female,8,72.389
09/07/2019,Small,S,3202520,283.5342916,2,Cloth,Y,Female,8,38.873
09/07/2019,Small,S,1610185,233.168827,2,Glass,Y,Female,8,27.469
09/07/2019,Small,NA,6343309,196.4358,2,Plastic,N,Female,8,86.893
09/07/2019,Small,NA,6591447,126.3884,2,Cloth,N,Female,8,75.017
